threshold,accuracy,precision,recall,f1,fp,fn
0.1,0.51,0.51,1.0,0.6754966887417219,49,0
0.15000000000000002,0.51,0.51,1.0,0.6754966887417219,49,0
0.20000000000000004,0.51,0.51,1.0,0.6754966887417219,49,0
0.25000000000000006,0.51,0.51,1.0,0.6754966887417219,49,0
0.30000000000000004,0.51,0.51,1.0,0.6754966887417219,49,0
0.3500000000000001,0.51,0.51,1.0,0.6754966887417219,49,0
0.40000000000000013,0.51,0.51,1.0,0.6754966887417219,49,0
0.45000000000000007,0.51,0.51,1.0,0.6754966887417219,49,0
0.5000000000000001,0.5,0.5050505050505051,0.9803921568627451,0.6666666666666666,49,1
0.5500000000000002,0.5,0.5050505050505051,0.9803921568627451,0.6666666666666666,49,1
0.6000000000000002,0.5,0.5050505050505051,0.9803921568627451,0.6666666666666666,49,1
0.6500000000000001,0.5,0.5050505050505051,0.9803921568627451,0.6666666666666666,49,1
0.7000000000000002,0.5,0.5050505050505051,0.9803921568627451,0.6666666666666666,49,1
0.7500000000000002,0.49,0.5,0.9607843137254902,0.6577181208053692,49,2
0.8000000000000002,0.49,0.5,0.9607843137254902,0.6577181208053692,49,2
0.8500000000000002,0.49,0.5,0.9607843137254902,0.6577181208053692,49,2
0.9000000000000002,0.49,0.5,0.9607843137254902,0.6577181208053692,49,2
0.9500000000000003,0.49,0.5,0.9607843137254902,0.6577181208053692,49,2
